,hotel_id,homestay_name,area,region,place,price,amenities,price_type
0,0,Colourful homestay near the Varca beach New,varca,south goa,goa,2000,"['Air Conditioner', 'Hot water', 'Bathroom attached', 'Laundry', 'Doctor on call', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",budget
1,1,Homestay by the lush green banks of Mapusa River,unknown,unknown,goa,4000,"['Safe/Locker available', 'Wireless Internet', 'Room Heating', 'Driver Accommodation', 'Hot water', 'Disabled Friendly', 'Power Backup', 'Bathroom attached', 'Laundry', 'Doctor on call', 'essentials', 'TV', 'Bar / Restaurant', 'Free Parking', 'Telephone', 'travel assistance']",budget
2,2,Picturesque home with sprawling lawns,unknown,unknown,goa,5000,"['Safe/Locker available', 'Wireless Internet', 'Driver Accommodation', 'Hot water', 'Disabled Friendly', 'Power Backup', 'Bathroom attached', 'Laundry', 'Doctor on call', 'essentials', 'TV', 'Bar / Restaurant', 'Swimming Pool', 'Free Parking', 'Telephone', 'travel assistance']",budget
3,3,Modern home in Assagao village in North Goa,assagao,north goa,goa,5500,"['Safe/Locker available', 'Wireless Internet', 'Driver Accommodation', 'Hot water', 'Disabled Friendly', 'Power Backup', 'Bathroom attached', 'Laundry', 'Doctor on call', 'essentials', 'TV', 'Bar / Restaurant', 'Free Parking', 'Telephone', 'travel assistance']",comfort
4,4,A Paradise Beach Apartment New,unknown,unknown,goa,1750,"['Safe/Locker available', 'Wireless Internet', 'Fridge', 'kitchen', 'Hot water', 'Pet Friendly', 'Power Backup', 'Bathroom attached', 'Laundry', 'Doctor on call', 'essentials', 'TV', 'Bar / Restaurant', 'Swimming Pool', 'Free Parking', 'Kitchen', 'Telephone', 'travel assistance']",budget
5,5,Homestay close to Colva Beach,colva,south goa,goa,4000,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'Driver Accommodation', 'Hot water', 'Disabled Friendly', 'Power Backup', 'Bathroom attached', 'Laundry', 'Doctor on call', 'essentials', 'TV', 'Bar / Restaurant', 'Free Parking', 'Telephone', 'travel assistance']",budget
6,6,Restored villa with swimming pool and entertaining hosts,unknown,unknown,goa,3700,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'Hot water', 'Pet Friendly', 'Disabled Friendly', 'Power Backup', 'Bathroom attached', 'Laundry', 'Doctor on call', 'essentials', 'TV', 'Bar / Restaurant', 'Swimming Pool', 'Free Parking', 'Telephone', 'travel assistance']",budget
7,7,Elegant Villa in a gated community in Goa New,unknown,unknown,goa,5000,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'Fridge', 'Driver Accommodation', 'Hot water', 'Disabled Friendly', 'Power Backup', 'Bathroom attached', 'Laundry', 'Doctor on call', 'essentials', 'TV', 'Bar / Restaurant', 'Free Parking', 'Kitchen', 'Telephone', 'travel assistance']",budget
8,8,Holiday Apartment in Calangute Goa New,calangute,north goa,goa,6000,"['Safe/Locker available', 'Air Conditioner', 'Fridge', 'kitchen', 'Hot water', 'Bathroom attached', 'TV', 'Hair Dryer', 'Free Parking', 'Kitchen', 'Swimming Pool']",comfort
9,9,Stay by the River Sal in Goa New,unknown,unknown,goa,2641,"['Air Conditioner', 'Fridge', 'kitchen', 'Hot water', 'Bathroom attached', 'essentials', 'TV', 'Bar / Restaurant', 'Swimming Pool', 'Free Parking', 'Telephone', 'travel assistance']",budget
