,hotel_id,price,amenities,homestay_name,region,area,price_type
0,0,4599,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'Room Heating', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'Smoking Allowed', 'essentials', 'TV', 'Kitchen', 'Suitable for Events', 'Swimming Pool']",Rachith Aashiyana,north goa,umtav vado,budget
1,1,9000,"['Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",3 bedroom budget villa Candolim,north goa,candolim,comfort
2,2,13399,"['Air Conditioner', 'washer', 'Hot water', 'Family/Kid Friendly', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events']",4BHK Villa In Assagao,north goa,assagao,comfort
3,3,3999,"['Safe/Locker available', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'Free Parking']",Landscape Sea Side Rooms,north goa,dona paula,budget
4,4,3299,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Kitchen', 'Swimming Pool']",1 Bed Room Apartment 2,north goa,calangute,budget
5,5,3299,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Kitchen', 'Swimming Pool']",1 Bed Room Apartment 1,north goa,calangute,budget
6,6,3299,"['Air Conditioner', 'washer', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Bar / Restaurant']",2 Bedroom Apartment,north goa,candolim,budget
7,7,23104,"['Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Bar / Restaurant']",8 Bedroom Guest House,north goa,vagator,luxury
8,8,3500,"['Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'Smoking Allowed', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Waite 2BHK Apartment,south goa,colva,budget
9,9,3500,"['Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Kitchen', 'Swimming Pool']",Coconut Groove,south goa,varca,budget
10,10,2000,[],Lio’s Apartment,south goa,carmona,budget
11,11,6999,"['Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Kitchen', 'Swimming Pool']",Earth 4BHK Villa,south goa,benaulim,comfort
12,12,1499,"['Wireless Internet', 'Air Conditioner', 'washer', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'TV', 'Kitchen', 'Swimming Pool']",Westwinds 1BHK Apartment,south goa,benaulim,budget
